id,time_bucket,timestamp,direction,swap_count,size,zscore,gross_profit,binance_fee,uniswap_fee,gas_cost,net_profit,confidence,uniswap_avg_price,binance_close_price,price_difference
8501,2025-09-01 08:36:00,1756686960,DEX->CEX,5,809.678400000000000000,0.446624,929.200006301721800000,77.142317589000000000,231.426952767000020000,16.572898979482110000,604.057836966239700000,0.888940,4306.688174245795000000,4368.670000000000000000,52.579014198123330000
8502,2025-09-01 08:49:00,1756687740,DEX->CEX,2,250.799000000000000000,0.930045,2560.115063031995000000,46.127184172999996000,138.381552519000020000,2.922278247569719300,2372.684048092425000000,0.789950,4162.118638441577000000,4398.810000000000000000,219.290650151218870000
8503,2025-09-01 10:01:00,1756692060,DEX->CEX,4,315.344100000000000000,0.889856,822159.755154642900000000,822.868781233000000000,2468.606343699000000000,2.272951415511520000,818866.007078295300000000,0.215093,2880.370940431831000000,4416.180000000000000000,1367.430346987797300000
8504,2025-09-01 10:49:00,1756694940,DEX->CEX,6,1480.146600000000000000,0.417554,6130.440328794249000000,190.121229353000020000,570.363688059000000000,567.193577067211000000,4802.761834315038000000,0.662892,4188.177150227538000000,4369.960000000000000000,171.674677598286500000
8505,2025-09-01 11:05:00,1756695900,DEX->CEX,3,310.112300000000000000,0.145181,156721.714017117800000000,64.489915483000000000,193.469746449000000000,21.857837780489138000,156441.896517405320000000,0.467941,3319.727881479587000000,4395.040000000000000000,110.252176810097810000
8506,2025-09-01 11:49:00,1756698540,DEX->CEX,4,354.440200000000000000,0.561078,5370.502583887515000000,16.598720776000000000,49.796162328000000000,9.269366103266124000,5294.838334680249000000,0.450923,3931.526212106652600000,4391.720000000000000000,446.875003285565500000
8507,2025-09-01 12:04:00,1756699440,CEX->DEX,1,243.708900000000000000,,511.577632956983960000,8.456069888000000000,25.368209664000002000,24.345335453244310000,453.408017951739700000,1.000000,4864.199552360366000000,4400.740000000000000000,461.245442322783700000
8508,2025-09-01 12:10:00,1756699800,DEX->CEX,3,239.524200000000000000,0.701871,82870.963837050720000000,25.179567343000002000,75.538702028999990000,14.298894177743595000,82755.946673500980000000,0.209225,3279.179940458208000000,4409.240000000000000000,1097.967166026848600000
8509,2025-09-01 12:11:00,1756699860,DEX->CEX,1,117.693800000000000000,,466.905744030557100000,20.841006508000000000,62.523019524000000000,3.240547439251187700,380.301170559305940000,1.000000,1067.063504652196600000,4410.690000000000000000,3343.595868927743000000
8510,2025-09-01 12:18:00,1756700280,DEX->CEX,3,132.357600000000000000,0.703806,956.514703518280000000,40.858465130000006000,122.575395390000010000,7.218972477398348000,785.861870520881700000,0.419748,3780.117589745408600000,4395.550000000000000000,610.974303956407800000
