id,time_bucket,timestamp,direction,gross_profit,binance_fee,uniswap_fee,gas_cost,net_profit,confidence,uniswap_avg_price,binance_close_price,price_difference
1,2025-09-01 08:18:00,1756685880,sell,56570.946513095560000000,760.037972013000000000,2280.113916039000000000,5.283285789057055500,53525.511339254500000000,0.680474,4119.198268561542000000,4388.760000000000000000,-269.561731438458200000
2,2025-09-01 08:23:00,1756686180,buy,322731.787633868050000000,1975.446221167000000000,5926.338663501000000000,3.545109283598903500,314826.457639916450000000,0.511523,5333.442328330181000000,4384.910000000000000000,948.532328330181400000
3,2025-09-01 10:01:00,1756692060,sell,923396.502908031600000000,822.868781233000000000,2468.606343699000000000,2.272951415511520000,920102.754831684000000000,0.215093,2880.370940431831000000,4416.180000000000000000,-1535.809059568169000000
4,2025-09-01 10:49:00,1756694940,sell,6491.399482548809000000,190.121229353000020000,570.363688059000000000,567.193577067211000000,5163.720988069598000000,0.662892,4188.177150227538000000,4369.960000000000000000,-181.782849772462530000
5,2025-09-01 11:05:00,1756695900,sell,1528539.056495638600000000,64.489915483000000000,193.469746449000000000,21.857837780489138000,1528259.238995926000000000,0.467941,3319.727881479587000000,4395.040000000000000000,-1075.312118520413000000
6,2025-09-01 11:49:00,1756698540,sell,5530.566509200935000000,16.598720776000000000,49.796162328000000000,9.269366103266124000,5454.902259993669000000,0.450923,3931.526212106652600000,4391.720000000000000000,-460.193787893347630000
7,2025-09-01 12:05:00,1756699500,buy,1884113.542857623200000000,61.148676980000005000,183.446030940000040000,6.108726142775875400,1883862.839423560300000000,0.101032,6020.720001252163000000,4398.760000000000000000,1621.960001252163000000
8,2025-09-01 12:10:00,1756699800,sell,85293.230276517440000000,25.179567343000002000,75.538702028999990000,14.298894177743595000,85178.213112967700000000,0.209225,3279.179940458208000000,4409.240000000000000000,-1130.060059541792300000
9,2025-09-01 13:32:00,1756704720,buy,3808637.693198711600000000,105.258054466000000000,315.774163398000040000,149.143443349304730000,3808067.517537498400000000,0.075663,8041.139535907856000000,4390.240000000000000000,3650.899535907856300000
10,2025-09-01 13:34:00,1756704840,buy,359303.245706053160000000,47.691162266000000000,143.073486798000030000,64.418347935307270000,359048.062709053860000000,0.074577,6507.053039452196000000,4388.830000000000000000,2118.223039452196000000
11,2025-09-01 13:59:00,1756706340,buy,436102.197087174460000000,21.020864247000002000,63.062592740999996000,11.808922183275968000,436006.304708003200000000,0.084687,6865.295372369218000000,4395.010000000000000000,2470.285372369218300000
12,2025-09-01 14:45:00,1756709100,buy,220084.901244843000000000,35.640526984000005000,106.921580952000000000,2.697917614775485500,219939.641219292200000000,0.446119,5210.063918514629000000,4403.620000000000000000,806.443918514629200000
13,2025-09-01 16:19:00,1756714740,sell,14403.548346221212000000,104.090262889000000000,312.270788667000030000,76.656800966905140000,13910.530493698307000000,0.356446,3959.746673159231700000,4475.450000000000000000,-515.703326840768200000
